Date,Close/Last,Volume,Open,High,Low
07/15/2022,$720.2,23227670,$720,$730.8699,$710.67
07/14/2022,$714.94,26185830,$704.69,$715.96,$688
07/13/2022,$711.12,32651500,$676.5,$726.1799,$675.1
07/12/2022,$699.21,29310320,$710.54,$719.32,$685.105
07/11/2022,$703.03,33169740,$756.31,$759.19,$700.88
07/08/2022,$752.29,33951360,$727,$764.9399,$723.4843
07/07/2022,$733.63,27310230,$701.76,$736.085,$696.63
07/06/2022,$695.2,23951210,$692.34,$703.69,$681.56
07/05/2022,$699.2,28259700,$669,$699.44,$648.5001
07/01/2022,$681.79,24820150,$681,$690.69,$666.3601
06/30/2022,$673.42,31533480,$673.53,$688.37,$656.59
06/29/2022,$685.47,27632420,$691.5,$693.52,$666.82
06/28/2022,$697.99,30222170,$733.45,$749.91,$697.03
06/27/2022,$734.76,29726100,$748.1,$756.21,$727.6966
06/24/2022,$737.12,31923570,$712.405,$738.2,$708.26
06/23/2022,$705.21,34734230,$713.715,$717.95,$685.91
06/22/2022,$708.26,33842420,$703.51,$740.5,$701.48
06/21/2022,$711.11,40930990,$673.81,$730.7321,$673
06/17/2022,$650.28,30880590,$640.3,$662.9082,$639.59
06/16/2022,$639.3,35796900,$668.21,$675.5,$626.08
06/15/2022,$699,39710650,$662.75,$706.9899,$654.45
06/14/2022,$662.67,32662930,$654.86,$678.99,$635.21
06/13/2022,$647.21,34255750,$669.5,$679.9,$644.05
06/10/2022,$696.69,32696970,$705.47,$718.5,$683.74
06/09/2022,$719.12,32163770,$748.02,$766.6399,$717.98
06/08/2022,$725.6,25403540,$720.26,$749.89,$717.53
06/07/2022,$716.66,24269530,$702,$719.99,$690.28
06/06/2022,$714.84,28068170,$733.06,$734.6,$703.05
06/03/2022,$703.55,37464580,$729.675,$743.3899,$700.2534
06/02/2022,$775,31157710,$732.47,$792.63,$726.2
06/01/2022,$740.37,25749320,$755.16,$771.98,$730.92
05/31/2022,$758.26,33971460,$773.84,$778.8,$734.23
05/27/2022,$759.63,29764990,$723.25,$759.8,$720.5311
05/26/2022,$707.73,35334450,$661.42,$718.6699,$653.66
05/25/2022,$658.8,30713110,$623.85,$669.32,$623.0101
05/24/2022,$628.16,29697510,$653.53,$653.92,$620.57
05/23/2022,$674.9,29634550,$655.02,$679.9551,$638.06
05/20/2022,$663.9,48324440,$713.99,$721.582,$633
05/19/2022,$709.42,30098890,$707,$734,$694.11
05/18/2022,$709.81,29270600,$744.52,$760.5,$700.81
05/17/2022,$761.61,26745370,$747.36,$764.48,$728.85
05/16/2022,$724.37,28699510,$767.16,$769.76,$719.0885
05/13/2022,$769.59,30716910,$773.48,$787.3499,$751.565
05/12/2022,$728,46770950,$701,$759.66,$680
05/11/2022,$734,32408150,$795,$809.77,$727.2
05/10/2022,$800.04,28133880,$819.31,$825.36,$774.25
05/09/2022,$787.11,30270070,$836.45,$845.63,$781.15
05/06/2022,$865.65,24301040,$887,$888,$843.105
05/05/2022,$873.28,30839730,$939.21,$945.6,$857.7
05/04/2022,$952.62,27214570,$903.94,$955.5,$885.28
05/03/2022,$909.25,21236530,$903.18,$924.08,$888.59
05/02/2022,$902.94,25260460,$860.77,$906.3599,$848.03
04/29/2022,$870.76,29377670,$902.25,$934.3999,$870
04/28/2022,$877.51,41649510,$899.98,$900,$821.7
04/27/2022,$881.51,25652130,$898.58,$918,$877.36
04/26/2022,$876.42,45377890,$995.43,$1000,$875
04/25/2022,$998.02,22780450,$978.97,$1008.62,$975.3
04/22/2022,$1005.05,23232190,$1014.91,$1034.85,$994.0001
04/21/2022,$1008.78,35138780,$1074.73,$1092.22,$996.415
04/20/2022,$977.2,23570440,$1030,$1034,$975.2501
04/19/2022,$1028.15,16615940,$1005.06,$1034.94,$995.325
04/18/2022,$1004.29,17238410,$989.03,$1014.92,$973.41
04/14/2022,$985,19474140,$999.29,$1012.7099,$982.19
04/13/2022,$1022.37,18373740,$981.075,$1026.24,$973.097
04/12/2022,$986.95,21992030,$997.64,$1021.1921,$976.6001
04/11/2022,$975.93,19785740,$980.4,$1008.4681,$974.64
04/08/2022,$1025.49,18337900,$1043.21,$1048.44,$1022.435
04/07/2022,$1057.26,26482350,$1052.39,$1076.59,$1021.5401
04/06/2022,$1045.76,29782850,$1073.47,$1079,$1027.7
04/05/2022,$1091.26,26691670,$1136.3,$1152.87,$1087.3
04/04/2022,$1145.45,27392570,$1089.38,$1149.91,$1072.53
04/01/2022,$1084.59,18087740,$1081.15,$1094.75,$1066.64
03/31/2022,$1077.6,16330920,$1094.57,$1103.1399,$1076.641
03/30/2022,$1093.99,19955000,$1091.17,$1113.95,$1084
03/29/2022,$1099.57,24538270,$1107.99,$1114.77,$1073.11
03/28/2022,$1091.84,34168690,$1065.1,$1097.8799,$1053.6
03/25/2022,$1010.64,20677180,$1008,$1021.7999,$997.3201
03/24/2022,$1013.92,22973630,$1009.73,$1024.49,$988.8
03/23/2022,$999.11,40225380,$979.94,$1040.7,$976.4
03/22/2022,$993.98,35289520,$930,$997.86,$921.75
03/21/2022,$921.16,27327220,$914.98,$942.85,$907.09
03/18/2022,$905.39,33471400,$874.49,$907.85,$867.39
03/17/2022,$871.6,22194320,$830.99,$875,$825.7178
03/16/2022,$840.23,28009610,$809,$842,$802.2601
03/15/2022,$801.89,22280380,$775.27,$805.57,$756.57
03/14/2022,$766.37,23717420,$780.61,$800.7,$756.04
03/11/2022,$795.35,22345720,$840.197,$843.802,$793.77
03/10/2022,$838.3,19549550,$851.45,$854.45,$810.3601
03/09/2022,$858.97,19727990,$839.48,$860.56,$832.01
03/08/2022,$824.4,26799700,$795.53,$849.99,$782.17
03/07/2022,$804.58,24164720,$856.3,$866.14,$804.57
03/04/2022,$838.29,22393290,$849.1,$855.65,$825.1609
03/03/2022,$839.29,20541170,$878.77,$886.439,$832.6001
03/02/2022,$879.89,24881150,$872.13,$886.48,$844.2721
03/01/2022,$864.37,24922290,$869.68,$889.88,$853.78
02/28/2022,$870.43,33002290,$815.01,$876.86,$814.7075
02/25/2022,$809.87,25355920,$809.23,$819.5,$782.4005
02/24/2022,$800.77,45107430,$700.39,$802.48,$700
02/23/2022,$764.04,31752340,$830.43,$835.2997,$760.56
02/22/2022,$821.53,27762730,$834.13,$856.7338,$801.1001
02/18/2022,$856.98,22833950,$886,$886.87,$837.61
02/17/2022,$876.35,18392810,$913.26,$918.4999,$874.1
02/16/2022,$923.39,17098130,$914.05,$926.4299,$901.21
02/15/2022,$922.43,19216510,$900,$923,$893.3774
02/14/2022,$875.76,22585470,$861.57,$898.8799,$853.15
02/11/2022,$860,26548620,$909.63,$915.96,$850.7
02/10/2022,$904.55,22042280,$908.37,$943.81,$896.7
02/09/2022,$932,17419850,$935,$946.2699,$920
02/08/2022,$922,16909670,$905.53,$926.2899,$894.8
02/07/2022,$907.34,20331490,$923.79,$947.77,$902.7089
02/04/2022,$923.32,24541820,$897.22,$936.5,$881.17
02/03/2022,$891.14,26285190,$882,$937,$880.52
02/02/2022,$905.66,22264350,$928.18,$931.5,$889.41
02/01/2022,$931.25,24379450,$935.21,$943.7,$905
01/31/2022,$936.72,34812030,$872.71,$937.99,$862.05
01/28/2022,$846.35,44929650,$831.56,$857.5,$792.01
01/27/2022,$829.1,49036520,$933.36,$935.39,$829
01/26/2022,$937.41,34955760,$952.43,$987.69,$906
01/25/2022,$918.4,28865300,$914.2,$951.26,$903.21
01/24/2022,$930,50791710,$904.76,$933.5131,$851.47
01/21/2022,$943.9,34472010,$996.34,$1004.55,$940.5
01/20/2022,$996.27,23496250,$1009.73,$1041.66,$994
01/19/2022,$995.65,25147500,$1041.705,$1054.6699,$995
01/18/2022,$1030.51,22329800,$1026.605,$1070.7899,$1016.06
